Hypernym	Hyponym
 חֵפֶץ אוֹבְּיֶקְט 	 עֶצֶם-טִבְעִי 
 חֵפֶץ אוֹבְּיֶקְט 	 עֶצֶם 
 חֵפֶץ אוֹבְּיֶקְט 	 אַרְטִיפָקְט חֵפֶץ_מְלָאכוּתִי 
 חֵפֶץ אוֹבְּיֶקְט 	 מִקּוּם 
 חֵפֶץ אוֹבְּיֶקְט 	 חֵלֶק 
 חֵפֶץ אוֹבְּיֶקְט 	 !הֶקֵּף !מִדָּה 
 חֵפֶץ אוֹבְּיֶקְט 	 !שָׁכֵן 
 עֶצֶם-טִבְעִי 	 גּוּף 
 עֶצֶם-טִבְעִי 	 אֶבֶן 
 עֶצֶם 	 אֹכֶל 
 עֶצֶם 	 רָדִיקָל 
 עֶצֶם 	 תִּרְכֹּבֶת 
 עֶצֶם 	 !דֶּלֶק 
 עֶצֶם 	 רַעַל 
 אַרְטִיפָקְט חֵפֶץ_מְלָאכוּתִי 	 בְּלוֹק 
 אַרְטִיפָקְט חֵפֶץ_מְלָאכוּתִי 	 עִטּוּר קִשּׁוּט אוֹרְנָמֶנְט דֶּקוֹרַצְיָה 
 אַרְטִיפָקְט חֵפֶץ_מְלָאכוּתִי 	 !סַם 
 אַרְטִיפָקְט חֵפֶץ_מְלָאכוּתִי 	 אָרִיג בַּד 
 אַרְטִיפָקְט חֵפֶץ_מְלָאכוּתִי 	 מִכְשׁוּר 
 אַרְטִיפָקְט חֵפֶץ_מְלָאכוּתִי 	 מִבְנֶה 
 חֵלֶק 	 !שֶׁבֶר 
 חֵלֶק 	 !קֶטַע 
 חֵלֶק 	 שָׂרִיד 
 אֹכֶל 	 חֶלְמוֹן 
 אֹכֶל 	 בִּשּׁוּל מִטְבָּח 
 תִּרְכֹּבֶת 	 !נֵפְט 
 תִּרְכֹּבֶת 	 תַּחְמֹצֶת 
 תִּרְכֹּבֶת 	 מֶלַח 
 !דֶּלֶק 	 פֶּחָם פַּחַם-עֵץ 
 !דֶּלֶק 	 !דֶּלֶק 
 !דֶּלֶק 	 נֵפְט קֶרוֹסִין 
 !דֶּלֶק 	 כָּבוּל 
 !דֶּלֶק 	 !מַצִּית 
 בְּלוֹק 	 !לוּחַ 
 עִטּוּר קִשּׁוּט אוֹרְנָמֶנְט דֶּקוֹרַצְיָה 	 !תְּלִיָּה 
 !סַם 	 תְּרוּפָה סַם 
 !סַם 	 !סַם 
 אָרִיג בַּד 	 לֶבֶד 
 אָרִיג בַּד 	 !סִיב 
 אָרִיג בַּד 	 חָקִי 
 אָרִיג בַּד 	 תַּחֲרָה 
 אָרִיג בַּד 	 !פִּסֵּחַ 
 אָרִיג בַּד 	 מֶשִׁי 
 אָרִיג בַּד 	 !זַמְשׁ 
 אָרִיג בַּד 	 קְטִיפָה 
 מִכְשׁוּר 	 רִהוּט 
 מִכְשׁוּר 	 !כְּלִי 
 מִבְנֶה 	 שֶׁטַח 
 מִבְנֶה 	 !מִרְפֶּסֶת 
 מִבְנֶה 	 יָצִיעַ 
 מִבְנֶה 	 בִּנְיָן 
 מִבְנֶה 	 דִּיּוּר 
 מִבְנֶה 	 תַּשְׁתִּית 
 מִבְנֶה 	 !תַּשְׁתִּית 
 מִבְנֶה 	 גַּלְעֵד אַנְדַּרְטָה מַצֵּבַת-זִכָּרוֹן 
 מִבְנֶה 	 תֵּל 
 מִבְנֶה 	 מְחִצָּה 
 מִבְנֶה 	 מִגְדָּל 
 !מֶכֶר 	 !מִטְעָן 
 !קֶטַע 	 פִּתּוּל עִקּוּל סִיבוּב 
 !קֶטַע 	 !עָלֶה 
 מַפָּל אֶשֶׁד מַפַּל-מַיִם 	 מַפְּלֵי-אַנְחֵל 
 מַפָּל אֶשֶׁד מַפַּל-מַיִם 	 !תְּאוֹם 
 אִי 	 !שֹׁבֶל 
 אִי 	 מָן 
 מַעֲלֶה 	 יְרִידָה 
 מַעֲלֶה 	 עֲלִיָּה 
 מַחְצָב מִינֶרָל 	 גֶּבֶס 
